numDisparities,blockSize,P1,P2,valid_ratio,std,score
208,5,200,800,0.5541178385416666,23.84084129333496,-0.6379242261250814
208,7,392,1568,0.5747005208333333,23.938255310058594,-0.6222122446695963
208,9,648,2592,0.5938118489583334,24.078107833862305,-0.6100935427347819
208,11,968,3872,0.6054069010416666,23.958293914794922,-0.5925077946980796
208,13,1352,5408,0.615576171875,24.364973068237305,-0.6026724815368653
224,3,72,288,0.5008138020833334,22.98109245300293,-0.6482408205668132
224,5,200,800,0.5314388020833334,22.875560760498047,-0.6123392359415689
224,7,392,1568,0.552646484375,23.27629280090332,-0.6111681556701661
224,9,648,2592,0.5709244791666667,22.95473861694336,-0.5768124516805014
224,11,968,3872,0.5808430989583333,22.38347625732422,-0.5383307139078777
224,13,1352,5408,0.590537109375,22.70641326904297,-0.5447835540771484
240,3,72,288,0.48124348958333335,21.940366744995117,-0.6157748476664227
240,5,200,800,0.510205078125,21.847949981689453,-0.5821924209594727
240,7,392,1568,0.5305078125,22.32884407043457,-0.5859343910217285
240,9,648,2592,0.5481412760416666,22.09165382385254,-0.5564414151509605
240,11,968,3872,0.558125,21.379100799560547,-0.5108300399780275
240,13,1352,5408,0.5665071614583334,21.719608306884766,-0.5194732538859049
256,3,72,288,0.459892578125,20.74149513244629,-0.5771821784973143
256,5,200,800,0.4881315104166667,20.763412475585938,-0.5500391133626302
256,7,392,1568,0.508212890625,21.319536209106445,-0.5577639198303223
256,9,648,2592,0.5266048177083333,21.094663619995117,-0.5281283632914227
256,11,968,3872,0.5357649739583333,20.341554641723633,-0.48131275812784835
256,13,1352,5408,0.5439127604166667,20.259370803833008,-0.4690557797749837
272,3,72,288,0.4400911458333333,19.666202545166016,-0.5432189814249675
272,5,200,800,0.46832356770833333,19.78437042236328,-0.5208949534098308
272,7,392,1568,0.486455078125,20.43352699279785,-0.5352212715148926
272,9,648,2592,0.5044466145833333,20.18575668334961,-0.5048412195841472
272,11,968,3872,0.5127473958333333,19.3841609954834,-0.4564606539408367
272,13,1352,5408,0.5201432291666667,19.31847381591797,-0.4457804616292318
288,3,72,288,0.417373046875,18.59406089782715,-0.5123299980163575
288,5,200,800,0.44482096354166667,18.73758316040039,-0.49205819447835286
288,7,392,1568,0.46275390625,19.473852157592773,-0.5109387016296387
288,9,648,2592,0.480908203125,19.244260787963867,-0.48130483627319337
288,11,968,3872,0.4893619791666667,18.351716995239258,-0.4282238705952962
288,13,1352,5408,0.49716796875,18.283580780029297,-0.4170110702514649
304,3,72,288,0.39637369791666666,17.840301513671875,-0.4956413777669272
304,5,200,800,0.42426106770833333,18.037700653076172,-0.47762396494547527
304,7,392,1568,0.44123697916666665,18.8985538482666,-0.5036907132466635
304,9,648,2592,0.4583658854166667,18.62767219543457,-0.47301772435506184
304,11,968,3872,0.4666471354166667,17.658367156982422,-0.4162712224324544
304,13,1352,5408,0.4733528645833333,17.60076332092285,-0.4066853014628093
320,3,72,288,0.3749544270833333,17.290725708007812,-0.4895818583170573
320,5,200,800,0.400146484375,17.530637741088867,-0.4763854026794434
320,7,392,1568,0.41818684895833336,18.47661018371582,-0.5056436602274577
320,9,648,2592,0.43414388020833333,18.231170654296875,-0.47741465250651044
320,11,968,3872,0.441064453125,17.21758460998535,-0.41981477737426764
320,13,1352,5408,0.4483951822916667,17.158708572387695,-0.40954024632771807
