numDisparities,blockSize,P1,P2,valid_ratio,std,score
144,11,968,3872,0.6704069010416667,21.970537185668945,-0.42811995824178073
144,13,1352,5408,0.6784635416666667,22.10038948059082,-0.4265559323628745
160,3,72,288,0.5794986979166666,22.59341812133789,-0.5501722081502279
160,5,200,800,0.6015690104166667,22.435876846313477,-0.5202248318990073
160,7,392,1568,0.62333984375,22.339120864868164,-0.4936161994934083
160,9,648,2592,0.6421875,22.36395263671875,-0.47601013183593743
160,11,968,3872,0.6531705729166667,22.59656524658203,-0.4766576894124349
160,13,1352,5408,0.6599609375,22.607202529907227,-0.4703991889953614
176,3,72,288,0.5623372395833334,23.048927307128906,-0.590109125773112
176,5,200,800,0.5840462239583334,22.889846801757812,-0.5604461161295572
176,7,392,1568,0.6038997395833333,22.669076919555664,-0.5295541063944499
176,9,648,2592,0.6236783854166666,22.834354400634766,-0.5180393346150717
176,11,968,3872,0.632802734375,22.96270179748535,-0.5153323554992677
176,13,1352,5408,0.640166015625,23.001792907714844,-0.5099236297607423
192,3,72,288,0.5465852864583334,23.06325912475586,-0.6065776697794596
192,5,200,800,0.567724609375,22.912952423095703,-0.5779230117797852
192,7,392,1568,0.5872623697916667,22.684951782226562,-0.5469852193196615
192,9,648,2592,0.6055533854166667,22.598875045776367,-0.5243903668721518
192,11,968,3872,0.614228515625,22.631916046142578,-0.5173672866821288
192,13,1352,5408,0.622958984375,22.51466178894043,-0.5027741050720215
208,3,72,288,0.5307845052083333,23.157546997070312,-0.6270928446451824
208,5,200,800,0.5516927083333333,22.937196731567383,-0.5951671282450358
208,7,392,1568,0.5718001302083333,22.770444869995117,-0.5667221132914226
208,9,648,2592,0.5903515625,22.757465362548828,-0.5475217056274415
208,11,968,3872,0.599482421875,22.55745506286621,-0.5283903312683106
208,13,1352,5408,0.6073502604166666,22.35428237915039,-0.5103638585408529
224,3,72,288,0.514609375,25.5320987701416,-0.7619955635070801
224,5,200,800,0.5376627604166667,25.34014892578125,-0.7293446858723959
224,7,392,1568,0.5559342447916666,24.884885787963867,-0.6883100446065269
224,9,648,2592,0.5741243489583333,25.612287521362305,-0.7064900271097819
224,11,968,3872,0.5848795572916666,25.41179847717285,-0.685710366566976
224,13,1352,5408,0.5923567708333334,24.928932189941406,-0.6540898386637369
240,3,72,288,0.49143880208333335,26.09787368774414,-0.8134548823038739
240,5,200,800,0.5166438802083333,25.517650604248047,-0.7592386500040691
240,7,392,1568,0.53537109375,25.700843811035156,-0.7496710968017579
240,9,648,2592,0.5533203125,26.2727108001709,-0.7603152275085451
240,11,968,3872,0.5630533854166667,26.038311004638672,-0.738862164815267
240,13,1352,5408,0.5699544270833333,24.320695877075195,-0.6460803667704266
256,3,72,288,0.468046875,25.82998275756836,-0.823452262878418
256,5,200,800,0.49488932291666665,25.179914474487305,-0.7641064008076988
256,7,392,1568,0.513525390625,25.998294830322266,-0.7863893508911134
256,9,648,2592,0.5290104166666667,26.296236038208008,-0.7858013852437338
256,11,968,3872,0.538779296875,26.068931579589844,-0.7646672821044922
256,13,1352,5408,0.545546875,24.926685333251953,-0.7007873916625978
272,3,72,288,0.44842122395833334,26.31367301940918,-0.8672624270121256
272,5,200,800,0.47365234375,24.77260398864746,-0.7649778556823732
272,7,392,1568,0.4908984375,25.675779342651367,-0.7928905296325683
272,9,648,2592,0.5075325520833334,25.999359130859375,-0.7924354044596356
272,11,968,3872,0.518388671875,25.76463508605957,-0.7698430824279786
272,13,1352,5408,0.5248763020833334,24.51309585571289,-0.7007784907023114
288,3,72,288,0.42640625,25.9232177734375,-0.8697546386718752
288,5,200,800,0.4512532552083333,25.35742950439453,-0.8166182200113934
288,7,392,1568,0.468681640625,25.879566192626953,-0.8252966690063477
288,9,648,2592,0.4845377604166667,25.751367568969727,-0.8030306180318196
288,11,968,3872,0.49478841145833335,25.507915496826172,-0.7806073633829753
288,13,1352,5408,0.500537109375,24.147768020629883,-0.7068512916564942
304,3,72,288,0.40506184895833336,25.48383331298828,-0.8691298166910808
304,5,200,800,0.4287109375,24.961742401123047,-0.8193761825561525
304,7,392,1568,0.4464290364583333,25.525306701660156,-0.8298362986246747
304,9,648,2592,0.46165364583333335,25.338775634765625,-0.805285135904948
304,11,968,3872,0.47100911458333333,25.04949378967285,-0.7814655749003094
304,13,1352,5408,0.47709309895833335,23.607221603393555,-0.7032679812113445
320,3,72,288,0.3818489583333333,25.077444076538086,-0.872023245493571
320,5,200,800,0.405966796875,24.522174835205078,-0.820141944885254
320,7,392,1568,0.42365885416666665,25.110408782958984,-0.8318615849812827
320,9,648,2592,0.4378157552083333,24.998741149902344,-0.8121213022867839
320,11,968,3872,0.44708333333333333,24.605525970458984,-0.7831929651896161
320,13,1352,5408,0.45251302083333333,22.963483810424805,-0.695661169687907
