numDisparities,blockSize,P1,P2,valid_ratio,std,score
64,3,72,288,0.6663932291666667,17.99024200439453,-0.23311887105305995
64,5,200,800,0.6897298177083333,18.002729415893555,-0.21040665308634443
64,7,392,1568,0.7134016927083333,18.05699920654297,-0.18944826761881517
64,9,648,2592,0.7393619791666667,18.077985763549805,-0.16453730901082364
64,11,968,3872,0.754443359375,18.149253845214844,-0.15301933288574232
64,13,1352,5408,0.7610384114583333,18.177066802978516,-0.14781492869059254
80,3,72,288,0.677392578125,21.621557235717773,-0.40368528366088874
80,5,200,800,0.70078125,21.517972946166992,-0.3751173973083496
80,7,392,1568,0.7232975260416666,21.437406539916992,-0.34857280095418297
80,9,648,2592,0.7437044270833333,21.269601821899414,-0.3197756640116374
80,11,968,3872,0.7554752604166667,21.148069381713867,-0.3019282086690268
80,13,1352,5408,0.7626204427083333,21.095172882080078,-0.2921382013956707
96,3,72,288,0.65564453125,21.912229537963867,-0.4399669456481935
96,5,200,800,0.6783430989583333,21.794193267822266,-0.4113665644327801
96,7,392,1568,0.7000911458333333,21.65199851989746,-0.3825087801615398
96,9,648,2592,0.721845703125,21.47801399230957,-0.35205499649047856
96,11,968,3872,0.7333072916666666,21.323394775390625,-0.3328624471028646
96,13,1352,5408,0.7405078125,21.27357292175293,-0.32317083358764664
112,3,72,288,0.6383919270833334,22.045555114746094,-0.4638858286539713
112,5,200,800,0.6596484375,21.947017669677734,-0.43770244598388675
112,7,392,1568,0.68203125,21.76108169555664,-0.4060228347778322
112,9,648,2592,0.7005696614583333,21.621234893798828,-0.3804920832316082
112,11,968,3872,0.7126041666666667,21.507272720336914,-0.362759469350179
112,13,1352,5408,0.7198763020833333,21.449853897094727,-0.3526163927714031
128,3,72,288,0.6203645833333333,22.2772159576416,-0.4934962145487467
128,5,200,800,0.641494140625,22.14764404296875,-0.46588806152343765
128,7,392,1568,0.6620930989583333,22.091358184814453,-0.44247481028238944
128,9,648,2592,0.680439453125,21.89395523071289,-0.4142583084106446
128,11,968,3872,0.6910384114583333,21.65509033203125,-0.3917161051432293
128,13,1352,5408,0.6986197916666667,21.702348709106445,-0.3864976437886557
144,3,72,288,0.5998046875,22.469772338867188,-0.5236839294433593
144,5,200,800,0.6209212239583334,22.320343017578125,-0.4950959269205729
144,7,392,1568,0.6421028645833333,22.231870651245117,-0.4694906679789226
144,9,648,2592,0.6609114583333333,22.08380889892578,-0.44327898661295584
